alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0,0.01,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.02,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.03,0.916282945,0.896472574,0.81130102,8.16E-04,0.002453718,0.002059613
0,0.04,0.915488025,0.896245293,0.80934949,8.50E-04,0.002433153,0.002142112
0,0.05,0.914658466,0.895915731,0.807276786,8.91E-04,0.002433949,0.002309431
0,0.06,0.913900843,0.895767996,0.806033163,9.30E-04,0.002348404,0.002380651
0,0.07,0.913200241,0.895495257,0.80473852,9.68E-04,0.002433295,0.002372007
0,0.08,0.912531883,0.89527934,0.803596939,0.001007323,0.00259243,0.002139856
0,0.09,0.911908693,0.894767954,0.802691327,0.001047848,0.002675156,0.002083054
0,0.1,0.911307354,0.894506578,0.801913265,0.001088471,0.002830746,0.002095635
0,0.11,0.910728268,0.894154292,0.800873724,0.001130531,0.002968879,0.001914939
0,0.12,0.910167848,0.893767913,0.799968112,0.001174488,0.002989385,0.001616083
0,0.13,0.909621222,0.89340426,0.799100765,0.001217567,0.002929372,0.001592537
0,0.14,0.909083477,0.893267891,0.798392857,0.001260976,0.003066321,0.001591611
0,0.15,0.9085626,0.892881512,0.79744898,0.001306022,0.002970846,0.001329761
0,0.16,0.908054583,0.892591728,0.796594388,0.001350379,0.002987491,0.001302216
0,0.17,0.907545321,0.892063295,0.795880102,0.001396431,0.003016239,0.001166281
0,0.18,0.907044138,0.891341676,0.794987245,0.001443558,0.003264318,8.19E-04
0,0.19,0.906553744,0.890665511,0.794139031,0.001489069,0.003617471,7.68E-04
0,0.2,0.906051912,0.890074578,0.793035714,0.001539607,0.003968513,7.55E-04
0,0.21,0.9055718,0.889523415,0.792251276,0.001584995,0.004150399,7.13E-04
0,0.22,0.905072446,0.889046122,0.791109694,0.001638143,0.004326645,7.78E-04
0,0.23,0.904597352,0.888580191,0.790044643,0.001684033,0.004503228,9.22E-04
0,0.24,0.904101593,0.88811426,0.788973214,0.001735683,0.00480929,0.00115753
0,0.25,0.903624658,0.887421048,0.787850765,0.001784498,0.004895883,0.001216132
0,0.26,0.903135596,0.886921023,0.786632653,0.001838646,0.005010691,0.001406391
0,0.27,0.902646981,0.886006205,0.785459184,0.001889987,0.005282001,0.001554508
0,0.28,0.902166849,0.885375496,0.784508929,0.001943357,0.005469295,0.001413423
0,0.29,0.901666539,0.884608414,0.783392857,0.00199983,0.005309038,0.001593016
0,0.3,0.90118844,0.883818607,0.782506378,0.002048499,0.005204734,0.00154394
