Models,Data,Metric,Value
Ridge,Train,Accuracy,0.8575326329959855
Ridge,Train,Sensitivity,0.8125510204081633
Ridge,Train,Specificity,0.8976089822264648
Ridge,Train,Precision,0.8760898864042688
Ridge,Train,Recall,0.8125510204081633
Lasso,Train,Accuracy,0.8622322651986827
Lasso,Train,Sensitivity,0.8225510204081633
Lasso,Train,Specificity,0.8975862539206327
Lasso,Train,Precision,0.8773877551020408
Lasso,Train,Recall,0.8225510204081633
RF,Train,Accuracy,0.9988701651482007
RF,Train,Sensitivity,0.9978061224489796
RF,Train,Specificity,0.9998181735533433
RF,Train,Precision,0.9997955114769184
RF,Train,Recall,0.9978061224489796
GBM,Train,Accuracy,0.9171254116685498
GBM,Train,Sensitivity,0.8924234693877551
GBM,Train,Specificity,0.939133596981681
GBM,Train,Precision,0.9288919571971005
GBM,Train,Recall,0.8924234693877551
Ridge,Test,Accuracy,0.8601855858454733
Ridge,Test,Sensitivity,0.8161494487545937
Ridge,Test,Specificity,0.8993910751613197
Ridge,Test,Precision,0.8783783783783784
Ridge,Test,Recall,0.8161494487545937
Lasso,Test,Accuracy,0.8631664983893457
Lasso,Test,Sensitivity,0.823805634953042
Lasso,Test,Specificity,0.8982095792056711
Lasso,Test,Precision,0.8781284004352558
Lasso,Test,Recall,0.823805634953042
RF,Test,Accuracy,0.9031203423241502
RF,Test,Sensitivity,0.8683135973866885
RF,Test,Specificity,0.9341088793965282
RF,Test,Precision,0.9214602968259127
RF,Test,Recall,0.8683135973866885
GBM,Test,Accuracy,0.9038896100774075
GBM,Test,Sensitivity,0.8766843609636586
GBM,Test,Specificity,0.9281105153140052
GBM,Test,Precision,0.9156626506024096
GBM,Test,Recall,0.8766843609636586
