,ID,URL,Completo,Valid,Online
3601,6601616,http://ligacapsapro.club/,1.0,INVALID,Offline
3602,6601420,http://www.i-cloudsbox.com/android.asp,1.0,INVALID,Offline
3603,6601102,http://bee.musvc2.net/e/c?q=4%3dEV0YE%26D%3d3%26E%3dAW6T%26w%3dT4YHU9%2692i3b%3dCU3SjU0Z-BZgR-BV72-G87T-0V8Sj63SAW4T%26qK%3d3UDU3X%26l%3dEvJ453.EmL%26u%3dRCT0VFV3YH,0.0,INVALID,Offline
3604,6600841,https://click.mail.onedrive.com/?qs=4d1a5bcd475b849f15621ceac4b183cb22c58d58c962d835dbb2e00936f96f93a5dfa866b0f8598cbfaf557034b0c2a08a661706dc0101e0,0.0,INVALID,Offline
3605,6600837,http://jrmachain.com/,1.0,INVALID,Offline
3606,6600831,http://bck309.com/,1.0,INVALID,Offline
3607,6600797,https://nam10.safelinks.protection.outlook.com/?url=https%3A%2F%2Fgo.microsoft.com%2Ffwlink%2F%3FLinkId%3D550986&data=02%7C01%7Cfraudes%40bcp.com.pe%7Cdca20d14428a460a77c408d80346f474%7C5d93ebccf76943808b7e289fc972da1b%7C0%7C0%7C637262950571058148&sdata=k8CqZ%2FNQrJFv9Xk6r2MDWLtguWlwHnC4LU91WqbKpTk%3D&reserved=0,0.0,INVALID,Offline
3608,6600331,https://click.mail.onedrive.com/?qs=55a324d91bf32e93152c54dcca1c20082eeee992eddae17fc5e1d2f62f36aaa7dbdd5d72152ee8a46d9d953b107dc14ebf57abbb5e11e286,0.0,INVALID,Offline
3609,6600067,https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Ffeed%2Fupdate%2Furn%3Ali%3Aactivity%3A6662603350908948480,0.0,INVALID,Offline
3610,6599712,https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://docs.google.com/forms/d/e/1FAIpQLSfgnQabTDKXi-d5m3lYq6aWviI05cyqrjZGs38QxwNDcd_ZJQ/viewform?usp%3Dsend_form&followup=https://docs.google.com/forms/d/e/1FAIpQLSfgnQabTDKXi-d5m3lYq6aWviI05cyqrjZGs38QxwNDcd_ZJQ/viewform?usp%3Dsend_form&ltmpl=forms,0.0,INVALID,Offline
3611,6599360,https://www.fastweb.com/login?utm_content=deadline&utm_medium=email&utm_source=award,0.0,INVALID,Offline
3612,6599287,http://www.readbag.com/irs-pub-irs-pdf-fw9,1.0,INVALID,Offline
3613,6599286,http://readbag.com/irs-pub-irs-pdf-fw9,1.0,INVALID,Offline
3614,6599010,https://list.mailtus.com/track/click?u=f5f8590cd58a54e94377e6ae2eded4d9&id=dde2fc6c&e=7a7958aa39564bc0,0.0,INVALID,Offline
3615,6598905,https://login.microsoftonline.com.office.o365rp.fcc.myshn.eu/,0.0,INVALID,Offline
3616,6598827,https://latam.payu.com/blog/pe-aprende-a-pagar-con-bcp-peru,0.0,INVALID,Offline
3617,6598559,https://www.deltaextranet.org,1.0,INVALID,Offline
3618,6598293,https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://drive.google.com/file/d/13bTzQPgluQjDBiuTS_yEPEC6iIjlJU1j/view?usp%3Dsharing_eil%26amp;ts%3D5ece87e2&followup=https://drive.google.com/file/d/13bTzQPgluQjDBiuTS_yEPEC6iIjlJU1j/view?usp%3Dsharing_eil%26amp;ts%3D5ece87e2,0.0,INVALID,Offline
3619,6598281,https://www.indiabullspark.org.in,1.0,INVALID,Offline
3620,6598214,https://download.piratedtech.com/2020/05/21/unlimited-google-drive/,0.0,INVALID,Offline
